Date,Power (kW),Temperature (ºC),Humidity (%),Pressure (mbar),Radiance (W/m^2)
2018-05-14 05:00:00,102.868489,11.760833333333332,73.76666666666667,1024.0,12.196416666666666
2018-05-14 06:00:00,102.54205,12.195,69.46249999999999,1024.0,57.4675
2018-05-14 07:00:00,131.547488,13.190833333333332,68.82083333333334,1024.0,273.15833333333336
2018-05-14 08:00:00,293.3581,13.783333333333333,67.07166666666667,1024.0,388.1666666666667
2018-05-14 09:00:00,257.3490815,15.110833333333334,62.038333333333334,1023.5,631.15
2018-05-14 10:00:00,287.2219645,16.62666666666667,57.375,1023.0,844.0416666666666
2018-05-14 11:00:00,301.9632855,17.156666666666666,57.196666666666665,1023.0,922.8333333333334
2018-05-14 12:00:00,301.187392,16.918333333333333,59.37083333333334,1022.0,1001.6666666666666
2018-05-14 13:00:00,318.234325,16.6675,59.6975,1022.0,968.5833333333334
2018-05-14 14:00:00,321.1449635,16.858333333333334,57.51499999999999,1021.6666666666666,915.0
2018-05-14 15:00:00,333.813375,16.706666666666667,57.52666666666667,1021.0,748.4916666666667
2018-05-14 16:00:00,316.6381825,16.590833333333332,58.718333333333334,1020.9166666666666,567.1
2018-05-14 17:00:00,303.422647,15.551666666666668,63.112500000000004,1020.0,373.125
2018-05-14 18:00:00,234.0062895,14.573333333333332,67.7675,1020.0,169.71583333333334
2018-05-14 19:00:00,180.0328565,14.005,72.47500000000001,1020.0833333333334,15.610750000000001
2018-05-14 20:00:00,151.8175145,13.68,75.30833333333334,1020.5,3.07825
2018-05-14 21:00:00,120.207775,13.5725,76.38333333333334,1021.0,3.1384166666666666
2018-05-14 22:00:00,117.344114,13.556666666666667,77.175,1021.0,2.4945
2018-05-14 23:00:00,106.6754145,13.6625,76.64999999999999,1020.6666666666666,2.5496666666666665
2018-05-15 00:00:00,111.61417,13.763333333333334,75.80833333333334,1020.0,2.5315833333333333
2018-05-15 01:00:00,107.4558965,13.883333333333333,74.39166666666667,1019.5833333333334,3.911416666666667
2018-05-15 02:00:00,109.726767,14.031666666666666,71.35000000000001,1019.0,3.8195
2018-05-15 03:00:00,104.9674,13.664166666666667,72.86666666666666,1019.0,4.9679166666666665
2018-05-15 04:00:00,108.0701,13.496666666666668,72.54166666666667,1019.0,4.652416666666666
2018-05-15 05:00:00,110.0765855,13.469166666666666,68.07916666666667,1019.0,21.657833333333333
2018-05-15 06:00:00,113.4441075,13.855833333333335,65.06916666666666,1019.0,160.85833333333332
2018-05-15 07:00:00,148.3215145,15.305833333333334,60.435,1019.3333333333334,357.60833333333335
2018-05-15 08:00:00,294.6553345,17.145,51.718333333333334,1019.0,560.4083333333333
2018-05-15 09:00:00,268.027395,18.136666666666667,45.61416666666667,1019.0,734.3833333333333
2018-05-15 10:00:00,326.4827,19.0725,42.565000000000005,1019.0,871.1666666666666
2018-05-15 11:00:00,305.4142745,20.664166666666667,33.725833333333334,1018.8333333333334,961.8333333333334
2018-05-15 12:00:00,329.7420645,22.463333333333335,27.424166666666665,1018.0,996.9166666666666
2018-05-15 13:00:00,324.3669645,23.249166666666667,23.018333333333334,1017.25,972.8333333333334
2018-05-15 14:00:00,347.145808,23.95583333333333,26.171666666666667,1016.4166666666666,885.9166666666666
2018-05-15 15:00:00,374.3051395,23.015833333333333,29.728333333333335,1016.0,747.4499999999999
2018-05-15 16:00:00,366.2822565,22.143333333333334,27.900833333333335,1016.0,584.7583333333333
2018-05-15 17:00:00,333.852705,20.603333333333335,29.219166666666666,1016.0,388.7916666666667
2018-05-15 18:00:00,228.8496895,18.8225,32.56916666666667,1015.9166666666666,185.65833333333333
2018-05-15 19:00:00,186.9304645,17.275000000000002,35.604166666666664,1016.0,29.189583333333335
2018-05-15 20:00:00,158.5595505,16.493333333333332,40.375,1016.0,0.8674166666666666
2018-05-15 21:00:00,131.1692645,16.539166666666667,43.58166666666667,1016.6666666666666,0.58375
2018-05-15 22:00:00,109.5832125,16.349999999999998,46.80916666666667,1017.0,0.46608333333333335
2018-05-15 23:00:00,108.2958105,16.275833333333335,48.82583333333333,1016.25,0.3000833333333333
2018-05-16 00:00:00,108.0637635,16.456666666666667,48.840833333333336,1016.0,0.4083333333333334
2018-05-16 01:00:00,104.475338,16.813333333333333,46.390833333333326,1015.0,0.4708333333333334
2018-05-16 02:00:00,101.2050485,16.455833333333334,49.52916666666667,1014.8333333333334,0.3921666666666666
2018-05-16 03:00:00,104.824064,15.758333333333333,53.025,1014.0,0.36474999999999996
2018-05-16 04:00:00,99.5741645,15.573333333333332,53.27583333333333,1014.0,0.29533333333333334
2018-05-16 05:00:00,100.8755505,15.941666666666668,50.34166666666667,1014.0,21.441916666666668
2018-05-16 06:00:00,111.36945,16.805,47.49166666666667,1014.0,169.56666666666666
2018-05-16 07:00:00,145.9979855,17.914166666666667,43.28,1014.0,369.9583333333333
2018-05-16 08:00:00,334.3209505,18.853333333333335,37.72,1014.0,568.9333333333334
2018-05-16 09:00:00,300.2117895,20.069166666666668,35.98583333333333,1014.0,745.1750000000001
2018-05-16 10:00:00,321.980726,21.4025,33.43333333333333,1014.0,881.3333333333334
2018-05-16 11:00:00,341.9924855,22.876666666666665,30.929166666666664,1013.6666666666666,965.8333333333334
2018-05-16 12:00:00,348.13605,24.469166666666666,26.860833333333332,1013.0,997.75
2018-05-16 13:00:00,365.7089125,25.843333333333334,23.506666666666664,1012.4166666666666,971.9166666666666
2018-05-16 14:00:00,366.348025,26.39916666666667,23.24083333333333,1011.8333333333334,887.75
2018-05-16 15:00:00,394.927388,26.9075,21.8325,1011.0,757.5166666666668
2018-05-16 16:00:00,410.7544355,26.2775,27.085833333333337,1011.0,571.4083333333334
2018-05-16 17:00:00,369.9932605,25.275833333333335,29.2675,1011.0,375.1666666666667
2018-05-16 18:00:00,222.481944,24.113333333333333,29.97083333333333,1011.0,174.9
2018-05-16 19:00:00,179.7745895,22.311666666666667,30.540000000000003,1011.4166666666666,27.013666666666666
2018-05-16 20:00:00,153.4671895,20.903333333333332,30.131666666666664,1012.0,1.1784999999999999
2018-05-16 21:00:00,122.384909,21.100833333333334,27.666666666666668,1012.3333333333334,0.9594166666666667
2018-05-16 22:00:00,110.7795,20.794166666666666,28.045833333333334,1013.0,1.0286666666666666
2018-05-16 23:00:00,105.6633225,20.868333333333336,27.755,1012.1666666666666,0.6849166666666666
2018-05-17 00:00:00,103.3249355,20.613333333333333,27.9275,1012.0,0.8949166666666667
2018-05-17 01:00:00,103.958367,20.4725,28.016666666666666,1012.0,0.9180833333333333
2018-05-17 02:00:00,104.7670355,20.107499999999998,29.34583333333333,1012.0,0.93425
2018-05-17 03:00:00,100.454938,19.486666666666668,31.145833333333332,1012.0,0.9573333333333333
2018-05-17 04:00:00,102.036878,18.706666666666667,34.72416666666667,1012.0,0.8673333333333333
